HOSP;25;3;1;362;21;9;2;9;33;0;24;13;4;1;18;25;47;96;14;13;1;16;31;2;53;10;39;81;63;38;15;4;86;87;2;44;65;1;3;0;59;35;87;27;5;91;10;28;284;8;417;238;33;185;17;0;5;0;315;284;164;19;29;33;19;87;574;90;272;370;3;80;4;3;89;13;20;1;4;34;27;22;352;745;705;621;337;8;14;139;19;33;
REA;2;0;0;21;1;0;1;0;0;0;2;0;1;0;2;1;0;9;0;0;1;1;5;1;9;1;2;2;2;2;1;1;0;7;0;4;4;0;0;0;1;2;5;0;0;6;0;1;20;1;28;9;1;21;2;0;2;0;7;13;13;0;4;0;0;2;66;4;40;22;0;5;1;1;3;0;0;0;0;0;1;1;28;63;60;21;5;2;5;21;4;5;
RAD;619;233;143;3225;319;48;57;143;170;159;920;208;74;97;622;506;218;515;174;136;108;349;647;87;931;698;463;110;318;681;304;72;236;951;105;690;593;69;77;24;589;141;987;246;179;1176;490;422;2335;90;2198;1073;229;1282;174;224;153;278;2478;2813;2938;289;740;358;394;834;6008;727;2582;2164;66;717;120;42;927;248;250;148;127;711;343;520;2311;4277;3616;4023;2527;80;89;350;140;357;
DC;136;59;24;557;83;9;13;51;82;37;248;38;13;14;151;129;82;134;43;48;11;97;73;23;155;121;86;79;85;153;60;13;63;246;18;158;102;22;10;1;141;47;265;87;44;356;102;92;828;27;619;407;39;308;42;27;27;34;658;805;651;77;199;84;70;164;1746;181;681;517;21;222;23;6;134;38;40;39;25;261;89;187;528;1076;983;1195;705;15;14;15;2;28;
